When: 2025-11-06 11:08:11 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:11:31	 7189	 2405	3175	0	 109.34	 -4	6 	0
2025-11-06 11:11:32	 7224	 2304	3257	-64	 149.77	 -1	1 	0
2025-11-06 11:11:33	 7259	 2280	3388	-64	 167.34	 -1	1 	0
2025-11-06 11:11:34	 7294	 2134	3376	-48	 162.07	 -4	-1 	0
2025-11-06 11:11:35	 7349	 2167	3489	0	 128.67	 0	1 	0
2025-11-06 11:11:36	 7384	 2104	3546	0	 156.80	 0	0 	0
2025-11-06 11:11:37	 7420	 2009	3528	0	 193.71	 -8	-2 	0
2025-11-06 11:11:38	 7455	 1920	3507	0	 82.97	 -1	-1 	0
2025-11-06 11:11:40	 7505	 1995	3534	0	 24.96	 5	1 	0
2025-11-06 11:11:41	 7542	 2042	3551	0	 126.91	 -2	0 	0
2025-11-06 11:11:42	 7577	 1981	3546	0	 191.95	 -6	-2 	0
2025-11-06 11:11:43	 7612	 1856	3507	0	 191.95	 0	-1 	0
2025-11-06 11:11:44	 7647	 1990	3532	0	 225.35	 2	0 	0
2025-11-06 11:11:45	 7682	 2017	3538	0	 327.30	 0	0 	0
2025-11-06 11:11:47	 7755	 2135	3517	0	 323.79	 1	-1 	0
2025-11-06 11:11:48	 7790	 2157	3483	0	 285.12	 1	-6 	0
2025-11-06 11:11:49	 7825	 2202	3268	-64	 248.20	 -2	-7 	0
2025-11-06 11:11:50	 7860	 2142	3088	-64	 302.70	 -1	0 	0
2025-11-06 11:11:51	 7895	 2220	3084	-64	 307.97	 2	-1 	0
2025-11-06 11:11:59	 8173	 2890	2960	8	 119.53	 0	0 	2
2025-11-06 11:12:01	 8267	 2934	2960	8	 154.69	 3	0 	2
2025-11-06 11:12:05	 8395	 2872	2960	8	 7.38	 -1	-1 	2
2025-11-06 11:12:06	 8438	 2927	2967	8	 7.38	 6	0 	2
2025-11-06 11:12:08	 8485	 2956	2977	8	 7.38	 1	0 	0
2025-11-06 11:12:09	 8520	 2969	2991	0	 7.38	 2	0 	0
2025-11-06 11:12:10	 8555	 2977	2991	0	 341.02	 0	0 	1
2025-11-06 11:12:13	 8685	 2902	2991	8	 341.02	 -1	0 	2
2025-11-06 11:12:16	 8783	 2939	2991	8	 3.87	 4	0 	2
2025-11-06 11:12:18	 8860	 3093	2994	0	 3.87	 3	0 	0
2025-11-06 11:12:19	 8895	 3129	2995	0	 263.67	 0	0 	0
