                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x78c069ef7010, 2000000 allocated for zone
Using /home/estudiante/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/estudiante/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM2.WAD
===========================================================================
                         DOOM 2: Hell on Earth
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Doom 1.9' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-06 18:39:14 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 18:43:12	 8546	 -667	-150	-256	 316.56	 0	1 	0
When: 2025-11-06 18:43:27 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 18:43:29	 9048	 448	752	128	 91.41	 0	-1 	0
2025-11-06 18:43:30	 9083	 495	747	128	 14.06	 0	-1 	0
2025-11-06 18:43:31	 9118	 522	747	128	 4.22	 4	0 	0
2025-11-06 18:43:32	 9153	 697	720	128	 202.50	 0	-1 	0
2025-11-06 18:43:33	 9188	 637	669	128	 180.00	 -4	-2 	0
2025-11-06 18:43:34	 9223	 391	662	23	 174.38	 -11	1 	0
2025-11-06 18:43:35	 9258	 410	678	16	 357.19	 13	0 	0
2025-11-06 18:43:36	 9293	 604	662	112	 28.12	 1	0 	0
2025-11-06 18:43:37	 9328	 768	828	128	 92.81	 2	0 	0
2025-11-06 18:43:38	 9363	 597	790	128	 92.81	 -12	1 	0
2025-11-06 18:43:39	 9398	 483	774	128	 91.41	 -1	0 	0
2025-11-06 18:43:40	 9451	 479	782	128	 87.19	 -1	-1 	0
2025-11-06 18:43:41	 9487	 467	786	128	 91.41	 -2	0 	0
2025-11-06 18:43:42	 9522	 461	785	128	 354.38	 5	-1 	0
2025-11-06 18:43:43	 9557	 813	783	128	 291.09	 4	0 	0
2025-11-06 18:43:44	 9592	 857	789	128	 303.75	 0	-1 	0
2025-11-06 18:43:45	 9627	 892	801	128	 298.12	 5	-1 	0
2025-11-06 18:43:46	 9662	 902	839	128	 137.81	 -12	1 	0
2025-11-06 18:43:47	 9697	 793	802	128	 120.94	 -1	-1 	0
2025-11-06 18:43:48	 9732	 739	783	128	 120.94	 -8	-4 	0
2025-11-06 18:43:49	 9767	 762	784	128	 109.69	 0	-2 	0
2025-11-06 18:43:50	 9802	 754	818	128	 91.41	 -1	0 	0
2025-11-06 18:43:51	 9837	 691	781	128	 80.16	 -9	-3 	0
2025-11-06 18:43:52	 9872	 523	738	128	 18.28	 3	1 	0
2025-11-06 18:43:53	 9907	 908	854	128	 108.28	 10	-2 	0
2025-11-06 18:43:54	 9942	 1067	972	128	 127.97	 -1	1 	0
2025-11-06 18:43:55	 9977	 1050	1002	128	 144.84	 -2	0 	0
2025-11-06 18:43:56	 10012	 1024	1025	128	 163.12	 1	-7 	0
2025-11-06 18:43:57	 10047	 1029	986	128	 164.53	 2	4 	0
2025-11-06 18:43:58	 10082	 983	1034	128	 181.41	 -1	0 	0
